架次编号,时刻（s）,阶段,状态,链路裕量（dB）
T01,2541.506,cruise,直连,0.938
T01,2542.506,cruise,直连,0.902
T01,2543.506,cruise,直连,0.866
T01,2544.505,cruise,直连,0.829
T01,2545.505,cruise,直连,0.793
T01,2546.505,cruise,直连,0.758
T01,2547.504,cruise,直连,0.722
T01,2548.504,cruise,直连,0.686
T01,2549.504,cruise,直连,0.651
T01,2550.504,cruise,直连,0.615
T01,2551.503,cruise,直连,0.58
T01,2552.503,cruise,直连,0.545
T01,2553.503,cruise,直连,0.51
T01,2554.502,cruise,直连,0.476
T01,2555.502,cruise,直连,0.441
T01,2556.502,cruise,直连,0.406
T01,2557.501,cruise,直连,0.372
T01,2558.501,cruise,直连,0.338
T01,2559.501,cruise,直连,0.304
T01,2560.501,cruise,直连,0.27
T01,2561.5,cruise,直连,0.236
T01,2562.5,cruise,直连,0.202
T01,2563.5,cruise,直连,0.169
T01,2564.499,cruise,直连,0.135
T01,2565.499,cruise,直连,0.102
T01,2566.499,cruise,直连,0.069
T01,2567.499,cruise,直连,0.036
T01,2568.498,cruise,直连,0.003
T01,2569.498,cruise,中继,2.306
T01,2570.498,cruise,中继,2.306
T01,2571.497,cruise,中继,2.306
T01,2572.497,cruise,中继,2.306
T01,2573.497,cruise,中继,2.306
T01,2574.497,cruise,中继,2.306
T01,2575.496,cruise,中继,2.306
T01,2576.496,cruise,中继,2.306
T01,2577.496,cruise,中继,2.306
T01,2578.495,cruise,中继,2.306
T01,2579.495,cruise,中继,2.306
T01,2580.495,cruise,中继,2.306
T01,2581.495,cruise,中继,2.306
T01,2582.494,cruise,中继,2.306
T01,2583.494,cruise,中继,2.306
T01,2584.494,cruise,中继,2.306
T01,2585.493,cruise,中继,2.306
T01,2586.493,cruise,中继,2.306
T01,2587.493,cruise,中继,2.306
T01,2588.493,cruise,中继,2.306
T01,2589.492,cruise,中继,2.306
T01,2590.492,cruise,中继,2.306
T01,2591.492,cruise,中继,2.306
T01,2592.491,cruise,中继,2.306
T01,2593.491,cruise,中继,2.306
T01,2594.491,cruise,中继,2.306
T01,2595.49,cruise,中继,2.306
T01,2596.49,cruise,中继,2.306
T01,2597.49,cruise,中继,2.306
T01,2598.49,cruise,中继,2.306
T01,2599.489,cruise,中继,2.306
T01,2600.489,cruise,中继,2.306
T01,2601.489,cruise,中继,2.306
T01,2602.488,cruise,中继,2.306
T01,2603.488,cruise,中继,2.306
T01,2604.488,cruise,中继,2.306
T01,2605.488,cruise,中继,2.306
T01,2606.487,cruise,中继,2.306
T01,2607.487,cruise,中继,2.306
T01,2608.487,cruise,中继,2.306
T01,2609.486,cruise,中继,2.306
T01,2610.486,cruise,中继,2.306
T01,2611.486,cruise,中继,2.306
T01,2612.486,cruise,中继,2.306
T01,2613.485,cruise,中继,2.306
T01,2614.485,cruise,中继,2.306
T01,2615.485,cruise,中继,2.306
T01,2616.484,cruise,中继,2.306
T01,2617.484,cruise,中继,2.306
T01,2618.484,cruise,中继,2.306
T01,2619.484,cruise,中继,2.306
T01,2620.483,cruise,中继,2.306
T01,2621.483,cruise,中继,2.306
T01,2622.483,cruise,中继,2.306
T01,2623.482,cruise,中继,2.306
T01,2624.482,cruise,中继,2.306
T01,2624.482,descent,中继,2.306
T01,2625.465,descent,中继,2.306
T01,2626.449,descent,中继,2.306
T01,2627.432,descent,中继,2.306
T01,2628.415,descent,中继,2.306
T01,2629.399,descent,中继,2.306
T01,2630.382,descent,中继,2.306
T01,2631.365,descent,中继,2.306
T01,2632.349,descent,中继,2.306
T01,2633.332,descent,中继,2.306
T01,2634.315,descent,中继,2.306
T01,2635.299,descent,中继,2.306
T01,2636.282,descent,中继,2.306
T01,2637.265,descent,中继,2.306
T01,2638.248,descent,中继,2.306
T01,2639.232,descent,中继,2.306
T01,2640.215,descent,中继,2.306
T01,2641.198,descent,中继,2.306
T01,2642.182,descent,中继,2.306
T01,2643.165,descent,中继,2.306
T01,2644.148,descent,中继,2.306
T01,2645.132,descent,中继,2.306
T01,2646.115,descent,中继,2.306
T01,2647.098,descent,中继,2.306
T01,2648.082,descent,中继,2.306
T01,2649.065,descent,中继,2.306
T01,2650.048,descent,中继,2.306
T01,2651.032,descent,中继,2.306
T01,2652.015,descent,中继,2.306
T01,2652.998,descent,中继,2.306
T01,2653.982,descent,中继,2.306
T01,2654.965,descent,中继,2.306
T01,2655.948,descent,中继,2.306
T01,2656.931,descent,中继,2.306
T01,2656.931,handover,中继,2.306
T01,2896.931,handover,中继,2.306
T01,2896.931,climb,中继,2.306
T01,2897.897,climb,中继,2.306
T01,2898.863,climb,中继,2.306
T01,2899.829,climb,中继,2.306
T01,2900.794,climb,中继,2.306
T01,2901.76,climb,中继,2.306
T01,2902.726,climb,中继,2.306
T01,2903.692,climb,中继,2.306
T01,2904.658,climb,中继,2.306
T01,2905.623,climb,中继,2.306
T01,2906.589,climb,中继,2.306
T01,2907.555,climb,中继,2.306
T01,2908.521,climb,中继,2.306
T01,2909.486,climb,中继,2.306
T01,2910.452,climb,中继,2.306
T01,2911.418,climb,中继,2.306
T01,2912.384,climb,中继,2.306
T01,2913.349,climb,中继,2.306
T01,2914.315,climb,中继,2.306
T01,2915.281,climb,中继,2.306
T01,2916.247,climb,中继,2.306
T01,2917.212,climb,中继,2.306
T01,2918.178,climb,中继,2.306
T01,2919.144,climb,中继,2.306
T01,2920.11,climb,中继,2.306
T01,2921.075,climb,中继,2.306
T01,2922.041,climb,中继,2.306
T01,2923.007,climb,中继,2.306
T01,2923.973,climb,中继,2.306
T01,2923.973,cruise,中继,2.306
T01,2924.972,cruise,中继,2.306
T01,2925.972,cruise,中继,2.306
T01,2926.972,cruise,中继,2.306
T01,2927.971,cruise,中继,2.306
T01,2928.971,cruise,中继,2.306
T01,2929.971,cruise,中继,2.306
T01,2930.971,cruise,中继,2.306
T01,2931.97,cruise,中继,2.306
T01,2932.97,cruise,中继,2.306
T01,2933.97,cruise,中继,2.306
T01,2934.969,cruise,中继,2.306
T01,2935.969,cruise,中继,2.306
T01,2936.969,cruise,中继,2.306
T01,2937.969,cruise,中继,2.306
T01,2938.968,cruise,中继,2.306
T01,2939.968,cruise,中继,2.306
T01,2940.968,cruise,中继,2.306
T01,2941.967,cruise,中继,2.306
T01,2942.967,cruise,中继,2.306
T01,2943.967,cruise,中继,2.306
T01,2944.967,cruise,中继,2.306
T01,2945.966,cruise,中继,2.306
T01,2946.966,cruise,中继,2.306
T01,2947.966,cruise,中继,2.306
T01,2948.965,cruise,中继,2.306
T01,2949.965,cruise,中继,2.306
T01,2950.965,cruise,中继,2.306
T01,2951.965,cruise,中继,2.306
T01,2952.964,cruise,中继,2.306
T01,2953.964,cruise,中继,2.306
T01,2954.964,cruise,中继,2.306
T01,2955.963,cruise,中继,2.306
T01,2956.963,cruise,中继,2.306
T01,2957.963,cruise,中继,2.306
T01,2958.962,cruise,中继,2.306
T01,2959.962,cruise,中继,2.306
T01,2960.962,cruise,中继,2.306
T01,2961.962,cruise,中继,2.306
T01,2962.961,cruise,中继,2.306
T01,2963.961,cruise,中继,2.306
T01,2964.961,cruise,中继,2.306
T01,2965.96,cruise,中继,2.306
T01,2966.96,cruise,中继,2.306
T01,2967.96,cruise,中继,2.306
T01,2968.96,cruise,中继,2.306
T01,2969.959,cruise,中继,2.306
T01,2970.959,cruise,中继,2.306
T01,2971.959,cruise,中继,2.306
T01,2972.958,cruise,中继,2.306
T01,2973.958,cruise,中继,2.306
T01,2974.958,cruise,中继,2.306
T01,2975.958,cruise,中继,2.306
T01,2976.957,cruise,中继,2.306
T01,2977.957,cruise,中继,2.306
T01,2978.957,cruise,中继,2.306
T01,2979.956,cruise,直连,0.003
T01,2980.956,cruise,直连,0.036
T01,2981.956,cruise,直连,0.069
T01,2982.956,cruise,直连,0.102
T01,2983.955,cruise,直连,0.135
T01,2984.955,cruise,直连,0.169
T01,2985.955,cruise,直连,0.202
T01,2986.954,cruise,直连,0.236
T01,2987.954,cruise,直连,0.27
T01,2988.954,cruise,直连,0.304
T01,2989.953,cruise,直连,0.338
T01,2990.953,cruise,直连,0.372
T01,2991.953,cruise,直连,0.406
T01,2992.953,cruise,直连,0.441
T01,2993.952,cruise,直连,0.476
T01,2994.952,cruise,直连,0.51
T01,2995.952,cruise,直连,0.545
T01,2996.951,cruise,直连,0.58
T01,2997.951,cruise,直连,0.615
T01,2998.951,cruise,直连,0.651
T01,2999.951,cruise,直连,0.686
T01,3000.95,cruise,直连,0.722
T01,3001.95,cruise,直连,0.758
T01,3002.95,cruise,直连,0.793
T01,3003.949,cruise,直连,0.829
T01,3004.949,cruise,直连,0.866
T01,3005.949,cruise,直连,0.902
T01,3006.949,cruise,直连,0.938
T01,3007.948,cruise,直连,0.975
T01,3008.948,cruise,直连,1.012
T01,3009.948,cruise,直连,1.049
T01,3010.947,cruise,直连,1.086
T01,3011.947,cruise,直连,1.123
T01,3012.947,cruise,直连,1.161
T01,3013.947,cruise,直连,1.198
T01,3014.946,cruise,直连,1.236
T01,3015.946,cruise,直连,1.274
T01,3016.946,cruise,直连,1.312
T01,3017.945,cruise,直连,1.35
T01,3018.945,cruise,直连,1.389
T01,3019.945,cruise,直连,1.427
T01,3020.945,cruise,直连,1.466
T01,3021.944,cruise,直连,1.505
T01,3022.944,cruise,直连,1.544
T01,3023.944,cruise,直连,1.583
T01,3024.943,cruise,直连,1.623
T01,3025.943,cruise,直连,1.662
T01,3026.943,cruise,直连,1.702
T01,3027.942,cruise,直连,1.742
T01,3028.942,cruise,直连,1.782
T01,3029.942,cruise,直连,1.823
T01,3030.942,cruise,直连,1.863
T01,3031.941,cruise,直连,1.904
T01,3032.941,cruise,直连,1.945
T01,3033.941,cruise,直连,1.986
T01,3034.94,cruise,直连,2.027
T01,3035.94,cruise,直连,2.069
T01,3036.94,cruise,直连,2.111
T01,3037.94,cruise,直连,2.153
T01,3038.939,cruise,直连,2.195
T01,3039.939,cruise,直连,2.237
T01,3040.939,cruise,直连,2.279
T01,3041.938,cruise,直连,2.322
T01,3042.938,cruise,直连,2.365
T01,3043.938,cruise,直连,2.408
T01,3044.938,cruise,直连,2.452
T01,3045.937,cruise,直连,2.495
T01,3046.937,cruise,直连,2.539
T01,3047.937,cruise,直连,2.583
T01,3048.936,cruise,直连,2.627
T01,3049.936,cruise,直连,2.672
T01,3050.936,cruise,直连,2.716
T01,3051.936,cruise,直连,2.761
T01,3052.935,cruise,直连,2.806
T01,3053.935,cruise,直连,2.852
T01,3054.935,cruise,直连,2.897
T01,3055.934,cruise,直连,2.943
T01,3056.934,cruise,直连,2.989
T01,3057.934,cruise,直连,3.036
T01,3058.934,cruise,直连,3.082
T01,3059.933,cruise,直连,3.129
T01,3060.933,cruise,直连,3.176
T01,3061.933,cruise,直连,3.224
T01,3062.932,cruise,直连,3.271
T01,3063.932,cruise,直连,3.319
T01,3064.932,cruise,直连,3.367
T01,3065.931,cruise,直连,3.415
T01,3066.931,cruise,直连,3.464
T01,3067.931,cruise,直连,3.513
T01,3068.931,cruise,直连,3.562
T01,3069.93,cruise,直连,3.612
T01,3070.93,cruise,直连,3.661
T01,3071.93,cruise,直连,3.711
T01,3072.929,cruise,直连,3.762
T01,3073.929,cruise,直连,3.812
T01,3074.929,cruise,直连,3.863
T01,3075.929,cruise,直连,3.915
T01,3076.928,cruise,直连,3.966
T01,3077.928,cruise,直连,4.018
T01,3078.928,cruise,直连,4.07
T01,3079.927,cruise,直连,4.122
T01,3080.927,cruise,直连,4.175
T01,3081.927,cruise,直连,4.228
T01,3082.927,cruise,直连,4.281
T01,3083.926,cruise,直连,4.335
T01,3084.926,cruise,直连,4.389
T01,3085.926,cruise,直连,4.444
T01,3086.925,cruise,直连,4.498
T01,3087.925,cruise,直连,4.553
T01,3088.925,cruise,直连,4.609
T01,3089.925,cruise,直连,4.664
T01,3090.924,cruise,直连,4.72
T01,3091.924,cruise,直连,4.777
T01,3092.924,cruise,直连,4.834
T01,3093.923,cruise,直连,4.891
T01,3094.923,cruise,直连,4.948
T01,3095.923,cruise,直连,5.006
T01,3096.923,cruise,直连,5.065
T01,3097.922,cruise,直连,5.123
T01,3098.922,cruise,直连,5.182
T01,3099.922,cruise,直连,5.242
T01,3100.921,cruise,直连,5.302
T01,3101.921,cruise,直连,5.362
T01,3102.921,cruise,直连,5.423
T01,3103.92,cruise,直连,5.484
T01,3104.92,cruise,直连,5.546
T01,3105.92,cruise,直连,5.608
T01,3106.92,cruise,直连,5.67
T01,3107.919,cruise,直连,5.733
T01,3108.919,cruise,直连,5.796
T01,3109.919,cruise,直连,5.86
T01,3110.918,cruise,直连,5.924
T01,3111.918,cruise,直连,5.989
T01,3112.918,cruise,直连,6.054
T01,3113.918,cruise,直连,6.12
T01,3114.917,cruise,直连,6.186
T01,3115.917,cruise,直连,6.252
T01,3116.917,cruise,直连,6.32
T01,3117.916,cruise,直连,6.387
T01,3118.916,cruise,直连,6.455
T01,3119.916,cruise,直连,6.524
T01,3120.916,cruise,直连,6.593
T01,3121.915,cruise,直连,6.663
T01,3122.915,cruise,直连,16.733
T01,3123.915,cruise,直连,16.804
T01,3124.914,cruise,直连,16.876
T01,3125.914,cruise,直连,16.948
T01,3126.914,cruise,直连,17.02
T01,3127.914,cruise,直连,17.094
T01,3128.913,cruise,直连,17.168
T01,3129.913,cruise,直连,17.242
T01,3130.913,cruise,直连,17.317
T01,3131.912,cruise,直连,17.393
T01,3132.912,cruise,直连,17.469
T01,3133.912,cruise,直连,17.546
T01,3134.912,cruise,直连,17.624
T01,3135.911,cruise,直连,17.702
T01,3136.911,cruise,直连,17.781
T01,3137.911,cruise,直连,17.861
T01,3138.91,cruise,直连,17.941
T01,3139.91,cruise,直连,18.023
T01,3140.91,cruise,直连,18.104
T01,3141.909,cruise,直连,18.187
T01,3142.909,cruise,直连,18.271
T01,3143.909,cruise,直连,18.355
T01,3144.909,cruise,直连,18.44
T01,3145.908,cruise,直连,18.526
T01,3146.908,cruise,直连,18.612
T01,3147.908,cruise,直连,18.7
T01,3148.907,cruise,直连,18.788
T01,3149.907,cruise,直连,18.877
T01,3150.907,cruise,直连,18.967
T01,3151.907,cruise,直连,19.058
T01,3152.906,cruise,直连,19.15
T01,3153.906,cruise,直连,19.243
T01,3154.906,cruise,直连,19.337
T01,3155.905,cruise,直连,19.432
T01,3156.905,cruise,直连,19.528
T01,3157.905,cruise,直连,19.624
T01,3158.905,cruise,直连,19.722
T01,3159.904,cruise,直连,19.821
T01,3160.904,cruise,直连,19.921
T01,3161.904,cruise,直连,20.022
T01,3162.903,cruise,直连,20.124
T01,3163.903,cruise,直连,20.228
T01,3164.903,cruise,直连,20.332
T01,3165.903,cruise,直连,20.438
T01,3166.902,cruise,直连,20.545
T01,3167.902,cruise,直连,20.653
T01,3168.902,cruise,直连,20.763
T01,3169.901,cruise,直连,20.873
T01,3170.901,cruise,直连,20.986
T01,3171.901,cruise,直连,21.099
T01,3172.901,cruise,直连,21.214
T01,3173.9,cruise,直连,21.33
T01,3174.9,cruise,直连,21.448
T01,3175.9,cruise,直连,21.567
T01,3176.899,cruise,直连,21.688
