service_id,type_code,rho,max_payload_kg
S015,A,0.25,25.0
S015,A,0.275,25.0
S015,A,0.3,25.0
S015,A,0.325,25.0
S015,A,0.35,25.0
S015,A,0.375,25.0
S015,A,0.4,25.0
S015,A,0.425,23.6092
S015,A,0.45,17.3292
S015,A,0.475,8.3683
S015,A,0.5,0.0
S001,B,0.0,30.0
S001,B,0.025,30.0
S001,B,0.05,30.0
S001,B,0.075,30.0
S001,B,0.1,30.0
S001,B,0.125,30.0
S001,B,0.15,30.0
S001,B,0.175,30.0
S001,B,0.2,30.0
S001,B,0.225,30.0
S001,B,0.25,30.0
S001,B,0.275,30.0
S001,B,0.3,30.0
S001,B,0.325,30.0
S001,B,0.35,30.0
S001,B,0.375,30.0
S001,B,0.4,30.0
S001,B,0.425,30.0
S001,B,0.45,30.0
S001,B,0.475,30.0
S001,B,0.5,30.0
S002,B,0.0,30.0
S002,B,0.025,30.0
S002,B,0.05,30.0
S002,B,0.075,30.0
S002,B,0.1,30.0
S002,B,0.125,30.0
S002,B,0.15,30.0
S002,B,0.175,30.0
S002,B,0.2,30.0
S002,B,0.225,30.0
S002,B,0.25,30.0
S002,B,0.275,28.5153
S002,B,0.3,26.7679
S002,B,0.325,24.7322
S002,B,0.35,22.3213
S002,B,0.375,19.402
S002,B,0.4,15.7476
S002,B,0.425,10.888
S002,B,0.45,3.0339
S002,B,0.475,0.0
S002,B,0.5,0.0
S003,B,0.0,30.0
S003,B,0.025,30.0
S003,B,0.05,30.0
S003,B,0.075,30.0
S003,B,0.1,30.0
S003,B,0.125,30.0
S003,B,0.15,30.0
S003,B,0.175,30.0
S003,B,0.2,30.0
S003,B,0.225,30.0
S003,B,0.25,29.1183
S003,B,0.275,27.4559
S003,B,0.3,25.5332
S003,B,0.325,23.2785
S003,B,0.35,20.5868
S003,B,0.375,17.2916
S003,B,0.4,13.0919
S003,B,0.425,7.2507
S003,B,0.45,0.0
S003,B,0.475,0.0
S003,B,0.5,0.0
S004,B,0.0,30.0
S004,B,0.025,30.0
S004,B,0.05,30.0
S004,B,0.075,30.0
S004,B,0.1,30.0
S004,B,0.125,30.0
S004,B,0.15,30.0
S004,B,0.175,30.0
S004,B,0.2,30.0
S004,B,0.225,29.0032
S004,B,0.25,27.4103
S004,B,0.275,25.5772
S004,B,0.3,23.4394
S004,B,0.325,20.9034
S004,B,0.35,17.8227
S004,B,0.375,13.9383
S004,B,0.4,8.6605
S004,B,0.425,0.0
S004,B,0.45,0.0
S004,B,0.475,0.0
S004,B,0.5,0.0
S005,B,0.0,30.0
S005,B,0.025,30.0
S005,B,0.05,30.0
S005,B,0.075,30.0
S005,B,0.1,30.0
S005,B,0.125,30.0
S005,B,0.15,30.0
S005,B,0.175,30.0
S005,B,0.2,30.0
S005,B,0.225,30.0
S005,B,0.25,30.0
S005,B,0.275,30.0
S005,B,0.3,30.0
S005,B,0.325,30.0
S005,B,0.35,30.0
S005,B,0.375,30.0
S005,B,0.4,30.0
S005,B,0.425,30.0
S005,B,0.45,30.0
S005,B,0.475,28.3391
S005,B,0.5,25.7874
S006,B,0.0,30.0
S006,B,0.025,30.0
S006,B,0.05,30.0
S006,B,0.075,30.0
S006,B,0.1,30.0
S006,B,0.125,30.0
S006,B,0.15,30.0
S006,B,0.175,30.0
S006,B,0.2,30.0
S006,B,0.225,30.0
S006,B,0.25,30.0
S006,B,0.275,30.0
S006,B,0.3,30.0
S006,B,0.325,30.0
S006,B,0.35,30.0
S006,B,0.375,30.0
S006,B,0.4,30.0
S006,B,0.425,30.0
S006,B,0.45,30.0
S006,B,0.475,30.0
S006,B,0.5,30.0
S007,B,0.0,30.0
S007,B,0.025,30.0
S007,B,0.05,30.0
S007,B,0.075,30.0
S007,B,0.1,30.0
S007,B,0.125,30.0
S007,B,0.15,30.0
S007,B,0.175,30.0
S007,B,0.2,30.0
S007,B,0.225,30.0
S007,B,0.25,30.0
S007,B,0.275,30.0
S007,B,0.3,30.0
S007,B,0.325,30.0
S007,B,0.35,30.0
S007,B,0.375,30.0
S007,B,0.4,30.0
S007,B,0.425,30.0
S007,B,0.45,30.0
S007,B,0.475,30.0
S007,B,0.5,30.0
S008,B,0.0,30.0
S008,B,0.025,30.0
S008,B,0.05,30.0
S008,B,0.075,30.0
S008,B,0.1,30.0
S008,B,0.125,30.0
S008,B,0.15,30.0
S008,B,0.175,30.0
S008,B,0.2,28.8514
S008,B,0.225,27.31
S008,B,0.25,25.5449
S008,B,0.275,23.4984
S008,B,0.3,21.0877
S008,B,0.325,18.1855
S008,B,0.35,14.5741
S008,B,0.375,9.7919
S008,B,0.4,1.8246
S008,B,0.425,0.0
S008,B,0.45,0.0
S008,B,0.475,0.0
S008,B,0.5,0.0
S009,B,0.0,30.0
S009,B,0.025,30.0
S009,B,0.05,30.0
S009,B,0.075,30.0
S009,B,0.1,30.0
S009,B,0.125,30.0
S009,B,0.15,30.0
S009,B,0.175,30.0
S009,B,0.2,30.0
S009,B,0.225,30.0
S009,B,0.25,30.0
S009,B,0.275,30.0
S009,B,0.3,30.0
S009,B,0.325,30.0
S009,B,0.35,30.0
S009,B,0.375,30.0
S009,B,0.4,30.0
S009,B,0.425,29.7025
S009,B,0.45,27.6269
S009,B,0.475,25.1182
S009,B,0.5,22.0083
S010,B,0.0,30.0
S010,B,0.025,30.0
S010,B,0.05,30.0
S010,B,0.075,30.0
S010,B,0.1,30.0
S010,B,0.125,30.0
S010,B,0.15,30.0
S010,B,0.175,30.0
S010,B,0.2,30.0
S010,B,0.225,30.0
S010,B,0.25,30.0
S010,B,0.275,30.0
S010,B,0.3,30.0
S010,B,0.325,30.0
S010,B,0.35,30.0
S010,B,0.375,30.0
S010,B,0.4,30.0
S010,B,0.425,30.0
S010,B,0.45,30.0
S010,B,0.475,30.0
S010,B,0.5,29.8057
S011,B,0.0,30.0
S011,B,0.025,30.0
S011,B,0.05,30.0
S011,B,0.075,30.0
S011,B,0.1,30.0
S011,B,0.125,30.0
S011,B,0.15,30.0
S011,B,0.175,30.0
S011,B,0.2,30.0
S011,B,0.225,30.0
S011,B,0.25,30.0
S011,B,0.275,30.0
S011,B,0.3,30.0
S011,B,0.325,30.0
S011,B,0.35,30.0
S011,B,0.375,30.0
S011,B,0.4,30.0
S011,B,0.425,30.0
S011,B,0.45,30.0
S011,B,0.475,30.0
S011,B,0.5,30.0
S012,B,0.0,30.0
S012,B,0.025,30.0
S012,B,0.05,30.0
S012,B,0.075,30.0
S012,B,0.1,30.0
S012,B,0.125,30.0
S012,B,0.15,30.0
S012,B,0.175,30.0
S012,B,0.2,30.0
S012,B,0.225,30.0
S012,B,0.25,29.4339
S012,B,0.275,27.8331
S012,B,0.3,25.9859
S012,B,0.325,23.8252
S012,B,0.35,21.2536
S012,B,0.375,18.1176
S012,B,0.4,14.1458
S012,B,0.425,8.7175
S012,B,0.45,0.0
S012,B,0.475,0.0
S012,B,0.5,0.0
S013,B,0.0,30.0
S013,B,0.025,30.0
S013,B,0.05,30.0
S013,B,0.075,30.0
S013,B,0.1,30.0
S013,B,0.125,30.0
S013,B,0.15,30.0
S013,B,0.175,30.0
S013,B,0.2,30.0
S013,B,0.225,30.0
S013,B,0.25,30.0
S013,B,0.275,30.0
S013,B,0.3,30.0
S013,B,0.325,30.0
S013,B,0.35,30.0
S013,B,0.375,30.0
S013,B,0.4,30.0
S013,B,0.425,30.0
S013,B,0.45,30.0
S013,B,0.475,30.0
S013,B,0.5,29.7435
S014,B,0.0,30.0
S014,B,0.025,30.0
S014,B,0.05,30.0
S014,B,0.075,30.0
S014,B,0.1,30.0
S014,B,0.125,30.0
S014,B,0.15,30.0
S014,B,0.175,30.0
S014,B,0.2,30.0
S014,B,0.225,30.0
S014,B,0.25,30.0
S014,B,0.275,30.0
S014,B,0.3,30.0
S014,B,0.325,30.0
S014,B,0.35,30.0
S014,B,0.375,30.0
S014,B,0.4,30.0
S014,B,0.425,28.9812
S014,B,0.45,26.6989
S014,B,0.475,23.9193
S014,B,0.5,20.4438
S015,B,0.0,30.0
S015,B,0.025,30.0
S015,B,0.05,30.0
S015,B,0.075,30.0
S015,B,0.1,30.0
S015,B,0.125,30.0
S015,B,0.15,30.0
S015,B,0.175,30.0
S015,B,0.2,30.0
S015,B,0.225,30.0
S015,B,0.25,30.0
S015,B,0.275,30.0
S015,B,0.3,30.0
S015,B,0.325,30.0
S015,B,0.35,30.0
S015,B,0.375,29.2458
S015,B,0.4,27.2442
S015,B,0.425,24.8593
S015,B,0.45,21.9594
S015,B,0.475,18.332
S015,B,0.5,13.5819
S001,C,0.0,80.0
S001,C,0.025,80.0
S001,C,0.05,80.0
S001,C,0.075,80.0
S001,C,0.1,80.0
S001,C,0.125,80.0
S001,C,0.15,80.0
S001,C,0.175,80.0
S001,C,0.2,80.0
S001,C,0.225,80.0
S001,C,0.25,80.0
S001,C,0.275,80.0
S001,C,0.3,80.0
S001,C,0.325,80.0
S001,C,0.35,80.0
S001,C,0.375,80.0
S001,C,0.4,80.0
S001,C,0.425,80.0
S001,C,0.45,80.0
S001,C,0.475,80.0
S001,C,0.5,80.0
S002,C,0.0,80.0
S002,C,0.025,80.0
S002,C,0.05,80.0
S002,C,0.075,80.0
S002,C,0.1,78.61
S002,C,0.125,76.5438
S002,C,0.15,74.2605
S002,C,0.175,71.7228
S002,C,0.2,68.8839
S002,C,0.225,65.6839
S002,C,0.25,62.0448
S002,C,0.275,57.8619
S002,C,0.3,52.9897
S002,C,0.325,47.2157
S002,C,0.35,40.2059
S002,C,0.375,31.3643
S002,C,0.4,19.308
S002,C,0.425,0.0
S002,C,0.45,0.0
S002,C,0.475,0.0
S002,C,0.5,0.0
S003,C,0.0,80.0
S003,C,0.025,80.0
S003,C,0.05,80.0
S003,C,0.075,80.0
S003,C,0.1,78.3071
S003,C,0.125,76.1872
S003,C,0.15,73.8428
S003,C,0.175,71.2353
S003,C,0.2,68.3165
S003,C,0.225,65.0253
S003,C,0.25,61.2817
S003,C,0.275,56.9798
S003,C,0.3,51.9728
S003,C,0.325,46.0487
S003,C,0.35,38.8774
S003,C,0.375,29.8765
S003,C,0.4,17.7038
S003,C,0.425,0.0
S003,C,0.45,0.0
S003,C,0.475,0.0
S003,C,0.5,0.0
S004,C,0.0,80.0
S004,C,0.025,80.0
S004,C,0.05,78.9566
S004,C,0.075,77.0155
S004,C,0.1,74.8827
S004,C,0.125,72.5273
S004,C,0.15,69.9114
S004,C,0.175,66.9874
S004,C,0.2,63.6946
S004,C,0.225,59.9536
S004,C,0.25,55.6582
S004,C,0.275,50.6603
S004,C,0.3,44.7431
S004,C,0.325,37.5618
S004,C,0.35,28.4868
S004,C,0.375,15.9508
S004,C,0.4,0.0
S004,C,0.425,0.0
S004,C,0.45,0.0
S004,C,0.475,0.0
S004,C,0.5,0.0
S005,C,0.0,80.0
S005,C,0.025,80.0
S005,C,0.05,80.0
S005,C,0.075,80.0
S005,C,0.1,80.0
S005,C,0.125,80.0
S005,C,0.15,80.0
S005,C,0.175,80.0
S005,C,0.2,80.0
S005,C,0.225,80.0
S005,C,0.25,80.0
S005,C,0.275,80.0
S005,C,0.3,80.0
S005,C,0.325,80.0
S005,C,0.35,78.784
S005,C,0.375,75.8624
S005,C,0.4,72.4964
S005,C,0.425,68.5729
S005,C,0.45,63.9337
S005,C,0.475,58.3494
S005,C,0.5,51.4671
S006,C,0.0,80.0
S006,C,0.025,80.0
S006,C,0.05,80.0
S006,C,0.075,80.0
S006,C,0.1,80.0
S006,C,0.125,80.0
S006,C,0.15,80.0
S006,C,0.175,80.0
S006,C,0.2,80.0
S006,C,0.225,80.0
S006,C,0.25,80.0
S006,C,0.275,80.0
S006,C,0.3,80.0
S006,C,0.325,80.0
S006,C,0.35,80.0
S006,C,0.375,80.0
S006,C,0.4,80.0
S006,C,0.425,80.0
S006,C,0.45,80.0
S006,C,0.475,80.0
S006,C,0.5,80.0
S007,C,0.0,80.0
S007,C,0.025,80.0
S007,C,0.05,80.0
S007,C,0.075,80.0
S007,C,0.1,80.0
S007,C,0.125,80.0
S007,C,0.15,80.0
S007,C,0.175,80.0
S007,C,0.2,80.0
S007,C,0.225,80.0
S007,C,0.25,80.0
S007,C,0.275,80.0
S007,C,0.3,80.0
S007,C,0.325,80.0
S007,C,0.35,80.0
S007,C,0.375,80.0
S007,C,0.4,80.0
S007,C,0.425,78.9209
S007,C,0.45,75.5501
S007,C,0.475,71.5884
S007,C,0.5,66.8627
S008,C,0.0,79.7185
S008,C,0.025,77.9352
S008,C,0.05,75.9875
S008,C,0.075,73.8508
S008,C,0.1,71.4953
S008,C,0.125,68.8843
S008,C,0.15,65.9719
S008,C,0.175,62.6993
S008,C,0.2,58.9903
S008,C,0.225,54.7428
S008,C,0.25,49.8149
S008,C,0.275,43.9988
S008,C,0.3,36.9644
S008,C,0.325,28.1095
S008,C,0.35,15.9395
S008,C,0.375,0.0
S008,C,0.4,0.0
S008,C,0.425,0.0
S008,C,0.45,0.0
S008,C,0.475,0.0
S008,C,0.5,0.0
S009,C,0.0,80.0
S009,C,0.025,80.0
S009,C,0.05,80.0
S009,C,0.075,80.0
S009,C,0.1,80.0
S009,C,0.125,80.0
S009,C,0.15,80.0
S009,C,0.175,80.0
S009,C,0.2,80.0
S009,C,0.225,80.0
S009,C,0.25,80.0
S009,C,0.275,80.0
S009,C,0.3,79.1623
S009,C,0.325,76.5156
S009,C,0.35,73.5028
S009,C,0.375,70.0394
S009,C,0.4,66.0112
S009,C,0.425,61.2589
S009,C,0.45,55.5499
S009,C,0.475,48.5233
S009,C,0.5,39.5597
S010,C,0.0,80.0
S010,C,0.025,80.0
S010,C,0.05,80.0
S010,C,0.075,80.0
S010,C,0.1,80.0
S010,C,0.125,80.0
S010,C,0.15,80.0
S010,C,0.175,80.0
S010,C,0.2,80.0
S010,C,0.225,80.0
S010,C,0.25,80.0
S010,C,0.275,80.0
S010,C,0.3,80.0
S010,C,0.325,80.0
S010,C,0.35,80.0
S010,C,0.375,80.0
S010,C,0.4,79.2035
S010,C,0.425,76.0481
S010,C,0.45,72.3708
S010,C,0.475,68.0271
S010,C,0.5,62.8107
S011,C,0.0,80.0
S011,C,0.025,80.0
S011,C,0.05,80.0
S011,C,0.075,80.0
S011,C,0.1,80.0
S011,C,0.125,80.0
S011,C,0.15,80.0
S011,C,0.175,80.0
S011,C,0.2,80.0
S011,C,0.225,80.0
S011,C,0.25,80.0
S011,C,0.275,80.0
S011,C,0.3,80.0
S011,C,0.325,80.0
S011,C,0.35,80.0
S011,C,0.375,80.0
S011,C,0.4,80.0
S011,C,0.425,80.0
S011,C,0.45,80.0
S011,C,0.475,80.0
S011,C,0.5,80.0
S012,C,0.0,80.0
S012,C,0.025,80.0
S012,C,0.05,80.0
S012,C,0.075,80.0
S012,C,0.1,78.0943
S012,C,0.125,75.9783
S012,C,0.15,73.6381
S012,C,0.175,71.035
S012,C,0.2,68.1205
S012,C,0.225,64.8324
S012,C,0.25,61.0895
S012,C,0.275,56.7829
S012,C,0.3,51.761
S012,C,0.325,45.8016
S012,C,0.35,38.5526
S012,C,0.375,29.3759
S012,C,0.4,16.7103
S012,C,0.425,0.0
S012,C,0.45,0.0
S012,C,0.475,0.0
S012,C,0.5,0.0
S013,C,0.0,80.0
S013,C,0.025,80.0
S013,C,0.05,80.0
S013,C,0.075,80.0
S013,C,0.1,80.0
S013,C,0.125,80.0
S013,C,0.15,80.0
S013,C,0.175,80.0
S013,C,0.2,80.0
S013,C,0.225,80.0
S013,C,0.25,80.0
S013,C,0.275,80.0
S013,C,0.3,80.0
S013,C,0.325,80.0
S013,C,0.35,80.0
S013,C,0.375,80.0
S013,C,0.4,78.739
S013,C,0.425,75.5477
S013,C,0.45,71.8264
S013,C,0.475,67.4271
S013,C,0.5,62.1375
S014,C,0.0,80.0
S014,C,0.025,80.0
S014,C,0.05,80.0
S014,C,0.075,80.0
S014,C,0.1,80.0
S014,C,0.125,80.0
S014,C,0.15,80.0
S014,C,0.175,80.0
S014,C,0.2,80.0
S014,C,0.225,80.0
S014,C,0.25,80.0
S014,C,0.275,80.0
S014,C,0.3,79.9812
S014,C,0.325,77.3422
S014,C,0.35,74.3386
S014,C,0.375,70.8883
S014,C,0.4,66.882
S014,C,0.425,62.1695
S014,C,0.45,56.5371
S014,C,0.475,49.6649
S014,C,0.5,41.0341
S015,C,0.0,80.0
S015,C,0.025,80.0
S015,C,0.05,80.0
S015,C,0.075,80.0
S015,C,0.1,80.0
S015,C,0.125,80.0
S015,C,0.15,80.0
S015,C,0.175,80.0
S015,C,0.2,80.0
S015,C,0.225,80.0
S015,C,0.25,78.4906
S015,C,0.275,75.9363
S015,C,0.3,73.0523
S015,C,0.325,69.7694
S015,C,0.35,65.9963
S015,C,0.375,61.6104
S015,C,0.4,56.4407
S015,C,0.425,50.2379
S015,C,0.45,42.6131
S015,C,0.475,32.8828
S015,C,0.5,19.4964
