### 物资需求与配送时限.xlsx

sheets = ['数据', '逐箱货箱清单']

==============================================================================
-- sheet: 数据   shape=(54, 9)   (header=None 原样输出)
==============================================================================
        0       1      2         3         4         5       6          7          8
51  S007-WAT-01   S007     饮用水        14     0.027       是       3600       3600      12
52  S007-WAT-02   S007     饮用水        14     0.027       否        NaN       3600      12
53  S007-FOD-01   S007    应急食品         8     0.028       否        NaN       7200      10
54  S007-HYG-01   S007  生活卫生用品         6     0.035       否        NaN      10800       8
55  S008-MED-01   S008    医疗物资         3     0.012       是       7200       7200      20
56  S008-WAT-01   S008     饮用水        14     0.027       是       7200       7200      10
57  S008-WAT-02   S008     饮用水        14     0.027       否        NaN       7200      10
58  S008-FOD-01   S008    应急食品         8     0.028       否        NaN      10800       8
59  S008-HYG-01   S008  生活卫生用品         6     0.035       否        NaN      14400       6
60  S009-MED-01   S009    医疗物资         3     0.012       是      10800      10800      16
61  S009-WAT-01   S009     饮用水        14     0.027       是      10800      10800       8
62  S009-FOD-01   S009    应急食品         8     0.028       否        NaN      14400       6
63  S010-MED-01   S010    医疗物资         3     0.012       是       3600       3600      24
64  S010-WAT-01   S010     饮用水        14     0.027       是       3600       3600      12
65  S010-FOD-01   S010    应急食品         8     0.028       否        NaN       7200      10
66  S011-MED-01   S011    医疗物资         3     0.012       是      10800      10800      16
67  S011-WAT-01   S011     饮用水        14     0.027       是      10800      10800       8
68  S011-FOD-01   S011    应急食品         8     0.028       否        NaN      14400       6
69  S012-MED-01   S012    医疗物资         3     0.012       是       3600       7200      22
70  S012-WAT-01   S012     饮用水        14     0.027       是       3600       3600      12
71  S012-FOD-01   S012    应急食品         8     0.028       否        NaN       7200      10
72  S013-MED-01   S013    医疗物资         3     0.012       是       3600       3600      24
73  S013-WAT-01   S013     饮用水        14     0.027       是       3600       3600      12
74  S013-FOD-01   S013    应急食品         8     0.028       否        NaN       7200      10
75  S014-MED-01   S014    医疗物资         3     0.012       是       3600       7200      22
76  S014-WAT-01   S014     饮用水        14     0.027       是       3600       3600      12
77  S014-FOD-01   S014    应急食品         8     0.028       否        NaN       7200      10
78  S015-MED-01   S015    医疗物资         3     0.012       是       7200       7200      18
79  S015-WAT-01   S015     饮用水        14     0.027       是      10800      10800       8
80  S015-FOD-01   S015    应急食品         8     0.028       否        NaN      14400       6

-- 按默认表头解析: columns = ['货箱编号', '服务区编号', '物资类型', '单箱质量（kg）', '单箱体积（m³）', '是否首批保障', '首批截止时间（s）', '期望送达时间（s）', '应急优先系数']
   dtypes = {'货箱编号': 'str', '服务区编号': 'str', '物资类型': 'str', '单箱质量（kg）': 'int64', '单箱体积（m³）': 'float64', '是否首批保障': 'str', '首批截止时间（s）': 'float64', '期望送达时间（s）': 'int64', '应急优先系数': 'int64'}
