service_id,type_code,rho,max_payload_kg
S015,B,0.1,30.0
S015,B,0.2,30.0
S015,B,0.3,30.0
S015,B,0.4,27.2442
S015,B,0.5,13.5819
S001,C,0.1,80.0
S001,C,0.2,80.0
S001,C,0.3,80.0
S001,C,0.4,80.0
S001,C,0.5,80.0
S002,C,0.1,78.61
S002,C,0.2,68.8839
S002,C,0.3,52.9897
S002,C,0.4,19.308
S002,C,0.5,0.0
S003,C,0.1,78.3071
S003,C,0.2,68.3165
S003,C,0.3,51.9728
S003,C,0.4,17.7038
S003,C,0.5,0.0
S004,C,0.1,74.8827
S004,C,0.2,63.6946
S004,C,0.3,44.7431
S004,C,0.4,0.0
S004,C,0.5,0.0
S005,C,0.1,80.0
S005,C,0.2,80.0
S005,C,0.3,80.0
S005,C,0.4,72.4964
S005,C,0.5,51.4671
S006,C,0.1,80.0
S006,C,0.2,80.0
S006,C,0.3,80.0
S006,C,0.4,80.0
S006,C,0.5,80.0
S007,C,0.1,80.0
S007,C,0.2,80.0
S007,C,0.3,80.0
S007,C,0.4,80.0
S007,C,0.5,66.8627
S008,C,0.1,71.4953
S008,C,0.2,58.9903
S008,C,0.3,36.9644
S008,C,0.4,0.0
S008,C,0.5,0.0
S009,C,0.1,80.0
S009,C,0.2,80.0
S009,C,0.3,79.1623
S009,C,0.4,66.0112
S009,C,0.5,39.5597
S010,C,0.1,80.0
S010,C,0.2,80.0
S010,C,0.3,80.0
S010,C,0.4,79.2035
S010,C,0.5,62.8107
S011,C,0.1,80.0
S011,C,0.2,80.0
S011,C,0.3,80.0
S011,C,0.4,80.0
S011,C,0.5,80.0
S012,C,0.1,78.0943
S012,C,0.2,68.1205
S012,C,0.3,51.761
S012,C,0.4,16.7103
S012,C,0.5,0.0
S013,C,0.1,80.0
S013,C,0.2,80.0
S013,C,0.3,80.0
S013,C,0.4,78.739
S013,C,0.5,62.1375
S014,C,0.1,80.0
S014,C,0.2,80.0
S014,C,0.3,79.9812
S014,C,0.4,66.882
S014,C,0.5,41.0341
S015,C,0.1,80.0
S015,C,0.2,80.0
S015,C,0.3,73.0523
S015,C,0.4,56.4407
S015,C,0.5,19.4964
